"3c2ee1c","jc3943","Tue, 7 Mar 2023 01:19:16 -0600","modified aciCreate_yaml_from_csv_v4.3.py to include dhcp data from csv and started intersight server firmware retrieve routine",	"a07cf87","jc3943","Tue, 21 Feb 2023 16:45:10 -0500","made tenant.csv updates for encap type",	"adfa8bb","jc3943","Tue, 21 Feb 2023 04:57:44 -0500","made tenant.csv updates",
"edbffe7","jc3943","Sun, 19 Feb 2023 18:11:01 -0500","fixed issues related to bad dns entry in k8s runners",	"146345a","jc3943","Sun, 19 Feb 2023 17:45:35 -0500","changing extras on ucs vmware tasks",	"91a9af5","jc3943","Sun, 19 Feb 2023 17:23:57 -0500","changing extras on ucs vmware tasks",
"05a3229","jc3943","Sun, 19 Feb 2023 17:21:26 -0500","changing extras on ucs vmware tasks",	"234517b","jc3943","Sun, 19 Feb 2023 16:44:59 -0500","updating ubuntu-runner for vmware mods",	"732e845","jc3943","Sun, 19 Feb 2023 16:41:30 -0500","updating ubuntu-runner for vmware mods",
"b8cfa52","jc3943","Sun, 19 Feb 2023 16:17:49 -0500","troubleshooting hx post-install tasks",	"3f1a9f3","jc3943","Sun, 19 Feb 2023 16:17:15 -0500","troubleshooting hx post-install tasks",	"983dd35","jc3943","Sun, 19 Feb 2023 16:02:05 -0500","troubleshooting hx post-install tasks",
"53be588","jc3943","Sun, 19 Feb 2023 15:59:38 -0500","troubleshooting hx post-install tasks",	"1dc91ca","jc3943","Sun, 19 Feb 2023 15:56:52 -0500","troubleshooting hx post-install tasks",	"48e4712","jc3943","Sun, 19 Feb 2023 15:53:16 -0500","troubleshooting hx post-install tasks",
"47cddc3","jc3943","Sun, 19 Feb 2023 15:41:30 -0500","troubleshooting hx post-install tasks",	"35eb905","jc3943","Sun, 19 Feb 2023 15:33:08 -0500","troubleshooting hx post-install tasks",	"5d86bb1","jc3943","Sun, 19 Feb 2023 12:07:36 -0500","removed redundant BD's from tenant.csv",
"a6964e7","jc3943","Thu, 16 Feb 2023 05:23:25 -0800","added some additional tenant data to vars",	"ba53e73","jc3943","Thu, 16 Feb 2023 05:18:28 -0800","added some additional tenant data to vars",	"157e21c","jc3943","Thu, 16 Feb 2023 05:12:24 -0800","added some additional tenant data to vars",
"f68cab8","jc3943","Sun, 12 Feb 2023 16:57:39 +0100","adding some aci EP tracking and tenant/bd interrogation scripts",	"949945d","jc3943","Wed, 1 Feb 2023 13:03:24 -0500","rem'd ssh task in hxHosts-vcenter-tasks.yml due to unknown issue",	"52f8647","jc3943","Wed, 1 Feb 2023 08:14:01 -0500","rem'd sleep timer in devClaim-jenkinsfile for demo purposes",
"dc9f27a","jc3943","Wed, 1 Feb 2023 07:41:07 -0500","created jenkinsfile for intersightDevClaim only",	"6ef918c","jc3943","Wed, 1 Feb 2023 07:37:35 -0500","updated nso to sync to and changed nso api addr for current pod svc ip",	"78bdbb4","jc3943","Tue, 31 Jan 2023 20:54:56 -0500","updated timer for vcenter to reconnect hosts",
"d295e59","jc3943","Tue, 31 Jan 2023 17:21:08 -0500","updates to tenant.csv",	"8aa7569","jc3943","Tue, 31 Jan 2023 15:57:27 -0500","moved HX datastore create until after reboot",	"153486b","jc3943","Tue, 31 Jan 2023 14:39:32 -0500","removed stand-alone host for unknown issue",
